strategy,repeat,seed,success,benchmark_stop_reason,total_time_s,pose_validation_time_s,structural_time_s,structural_plans_generated,structural_replans,rai_transition_attempts,rai_transition_failures,komo_calls,komo_feasible,komo_infeasible,first_plan_support_moves,first_plan_support_steps,support_moves,support_steps,first_to_final_exact_match,first_to_final_common_prefix_length,first_to_final_changed_positions,source_file
baseline,8,200460,False,max_replans,1105.3557963269996,1098.531679878026,6.767315953067737,50,49,79,50,3132,29,3103,11,23,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/baseline/benchmark.csv
baseline,9,200461,False,max_replans,932.2109715759871,924.5280580209946,7.623570214011124,50,49,86,50,2748,36,2712,8,23,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/baseline/benchmark.csv
fewest_mandatory_supports,0,200452,False,max_replans,901.1517705580045,888.6622690121148,7.960699061019113,50,49,90,50,2938,40,2898,7,30,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fewest_mandatory_supports/benchmark.csv
fewest_mandatory_supports,1,200453,False,max_replans,1071.4551550410106,1065.8177418959967,5.584620722045656,50,49,72,50,2810,22,2788,7,30,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fewest_mandatory_supports/benchmark.csv
fewest_mandatory_supports,2,200454,False,max_replans,969.7603643129987,962.8663133979717,6.838828720952733,50,49,63,50,3080,13,3067,7,30,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fewest_mandatory_supports/benchmark.csv
fewest_mandatory_supports,3,200455,False,max_replans,915.2145758319966,907.6485811720486,7.510617010033457,50,49,85,50,3002,35,2967,7,30,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fewest_mandatory_supports/benchmark.csv
fewest_mandatory_supports,4,200456,True,complete,967.5022944489901,963.6140790459758,3.8523772339249263,33,32,62,32,2685,30,2655,7,30,9,28,False,1,17,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fewest_mandatory_supports/benchmark.csv
fewest_mandatory_supports,5,200457,False,max_replans,1430.1374288509978,1420.7123582350468,9.362983724975493,50,49,107,50,4138,57,4081,7,30,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fewest_mandatory_supports/benchmark.csv
fewest_mandatory_supports,6,200458,False,max_replans,942.8977468500088,935.2138676139875,7.625701445009327,50,49,63,50,2841,13,2828,7,30,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fewest_mandatory_supports/benchmark.csv
fewest_mandatory_supports,7,200459,False,max_replans,1050.390406274004,1039.8194549308682,10.504126826999709,50,49,84,50,3505,34,3471,7,30,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fewest_mandatory_supports/benchmark.csv
