strategy,runs_total,successful_runs,failed_runs,success_rate,max_replans_failures,max_total_runtime_failures,other_failures,successful_zero_replan_runs,successful_first_plan_exact_matches,successful_zero_replan_rate,successful_first_plan_exact_match_rate,rai_runtime_share_successful_percent,backward_search_runtime_share_successful_percent,other_runtime_share_successful_percent,total_time_s_successful_mean,total_time_s_successful_median,total_time_s_successful_std,total_time_s_successful_min,total_time_s_successful_max,pose_validation_time_s_successful_mean,pose_validation_time_s_successful_median,pose_validation_time_s_successful_std,pose_validation_time_s_successful_min,pose_validation_time_s_successful_max,structural_time_s_successful_mean,structural_time_s_successful_median,structural_time_s_successful_std,structural_time_s_successful_min,structural_time_s_successful_max,structural_plans_generated_successful_mean,structural_plans_generated_successful_median,structural_plans_generated_successful_std,structural_plans_generated_successful_min,structural_plans_generated_successful_max,structural_replans_successful_mean,structural_replans_successful_median,structural_replans_successful_std,structural_replans_successful_min,structural_replans_successful_max,rai_transition_attempts_successful_mean,rai_transition_attempts_successful_median,rai_transition_attempts_successful_std,rai_transition_attempts_successful_min,rai_transition_attempts_successful_max,rai_transition_failures_successful_mean,rai_transition_failures_successful_median,rai_transition_failures_successful_std,rai_transition_failures_successful_min,rai_transition_failures_successful_max,rai_transition_successes_successful_mean,rai_transition_successes_successful_median,rai_transition_successes_successful_std,rai_transition_successes_successful_min,rai_transition_successes_successful_max,komo_calls_successful_mean,komo_calls_successful_median,komo_calls_successful_std,komo_calls_successful_min,komo_calls_successful_max,komo_feasible_successful_mean,komo_feasible_successful_median,komo_feasible_successful_std,komo_feasible_successful_min,komo_feasible_successful_max,komo_infeasible_successful_mean,komo_infeasible_successful_median,komo_infeasible_successful_std,komo_infeasible_successful_min,komo_infeasible_successful_max,first_plan_support_moves_successful_mean,first_plan_support_moves_successful_median,first_plan_support_moves_successful_std,first_plan_support_moves_successful_min,first_plan_support_moves_successful_max,first_plan_support_steps_successful_mean,first_plan_support_steps_successful_median,first_plan_support_steps_successful_std,first_plan_support_steps_successful_min,first_plan_support_steps_successful_max,support_moves_successful_mean,support_moves_successful_median,support_moves_successful_std,support_moves_successful_min,support_moves_successful_max,support_steps_successful_mean,support_steps_successful_median,support_steps_successful_std,support_steps_successful_min,support_steps_successful_max,first_to_final_common_prefix_length_successful_mean,first_to_final_common_prefix_length_successful_median,first_to_final_common_prefix_length_successful_std,first_to_final_common_prefix_length_successful_min,first_to_final_common_prefix_length_successful_max,first_to_final_changed_positions_successful_mean,first_to_final_changed_positions_successful_median,first_to_final_changed_positions_successful_std,first_to_final_changed_positions_successful_min,first_to_final_changed_positions_successful_max,rai_runtime_percent_successful_mean,rai_runtime_percent_successful_median,rai_runtime_percent_successful_std,rai_runtime_percent_successful_min,rai_runtime_percent_successful_max,backward_search_runtime_percent_successful_mean,backward_search_runtime_percent_successful_median,backward_search_runtime_percent_successful_std,backward_search_runtime_percent_successful_min,backward_search_runtime_percent_successful_max,other_runtime_percent_successful_mean,other_runtime_percent_successful_median,other_runtime_percent_successful_std,other_runtime_percent_successful_min,other_runtime_percent_successful_max
fast_reduce_support,10,9,1,0.9,1,0,0,0,0,0.0,0.0,98.96735521806079,0.9501176980453246,0.08252708389389489,643.0505468137804,563.0934836609958,243.38415864625327,285.33213789800357,1007.4678349770111,636.4101188968764,557.7341729049949,241.0184060318715,281.6076346929767,997.8637503789796,6.109737052654964,5.329648946993984,2.2026477388818826,3.6972189049993176,9.76667788195482,26.22222222222222,25.0,5.629781918018179,19.0,35.0,25.22222222222222,24.0,5.629781918018179,18.0,34.0,56.44444444444444,55.0,10.829486496495472,44.0,73.0,25.22222222222222,24.0,5.629781918018179,18.0,34.0,31.22222222222222,31.0,5.717905599469481,22.0,40.0,1790.4444444444443,1712.0,586.1663823333591,841.0,2743.0,31.22222222222222,31.0,5.717905599469481,22.0,40.0,1759.2222222222222,1684.0,581.6134407357214,819.0,2708.0,5.0,5.0,0.0,5.0,5.0,19.0,19.0,0.0,19.0,19.0,6.0,6.0,0.8660254037844386,5.0,7.0,18.11111111111111,18.0,2.619372274250285,14.0,23.0,4.666666666666667,4.0,1.4142135623730951,2.0,6.0,12.88888888888889,14.0,2.6666666666666665,8.0,16.0,98.95313633554943,98.96541185509186,0.20032545028027823,98.60173020599734,99.23279284804529,0.9780577363318144,0.9484992567799839,0.15992428905360934,0.7629802123169537,1.2957597178628881,0.06880592811875749,0.0057513237252714774,0.18871605046664777,0.00422693963775398,0.5720318321665367
baseline,10,1,9,0.1,9,0,0,0,0,0.0,0.0,99.51627120042504,0.4791302999262197,0.004598499648742886,506.95378467199043,506.95378467199043,nan,506.95378467199043,506.95378467199043,504.5015032149968,504.5015032149968,nan,504.5015032149968,504.5015032149968,2.4289691889862297,2.4289691889862297,nan,2.4289691889862297,2.4289691889862297,22.0,22.0,nan,22.0,22.0,21.0,21.0,nan,21.0,21.0,54.0,54.0,nan,54.0,54.0,21.0,21.0,nan,21.0,21.0,33.0,33.0,nan,33.0,33.0,1468.0,1468.0,nan,1468.0,1468.0,33.0,33.0,nan,33.0,33.0,1435.0,1435.0,nan,1435.0,1435.0,8.0,8.0,nan,8.0,8.0,24.0,24.0,nan,24.0,24.0,7.0,7.0,nan,7.0,7.0,29.0,29.0,nan,29.0,29.0,3.0,3.0,nan,3.0,3.0,14.0,14.0,nan,14.0,14.0,99.51627120042504,99.51627120042504,nan,99.51627120042504,99.51627120042504,0.4791302999262197,0.4791302999262197,nan,0.4791302999262197,0.4791302999262197,0.004598499648742886,0.004598499648742886,nan,0.004598499648742886,0.004598499648742886
fewest_mandatory_supports,10,2,8,0.2,8,0,0,0,0,0.0,0.0,99.62489275972834,0.3714135476890941,0.0036936925825698705,691.7875813760038,691.7875813760038,389.9194865736238,416.07286830301746,967.5022944489901,689.1926360709622,689.1926360709622,388.0905264612592,414.77119309594855,963.6140790459758,2.5693927984611946,2.5693927984611946,1.8144139889463982,1.286408362997463,3.8523772339249263,24.0,24.0,12.727922061357855,15.0,33.0,23.0,23.0,12.727922061357855,14.0,32.0,49.5,49.5,17.67766952966369,37.0,62.0,23.0,23.0,12.727922061357855,14.0,32.0,26.5,26.5,4.949747468305833,23.0,30.0,1990.0,1990.0,982.878425849301,1295.0,2685.0,26.5,26.5,4.949747468305833,23.0,30.0,1963.5,1963.5,977.9286783809953,1272.0,2655.0,7.0,7.0,0.0,7.0,7.0,30.0,30.0,0.0,30.0,30.0,8.5,8.5,0.7071067811865476,8.0,9.0,28.5,28.5,0.7071067811865476,28.0,29.0,1.5,1.5,0.7071067811865476,1.0,2.0,17.0,17.0,0.0,17.0,17.0,99.64263516490969,99.64263516490969,0.06295646147904627,99.59811822407835,99.68715210574103,0.35367810186325777,0.35367810186325777,0.06293176717221524,0.3091786225437314,0.3981775811827841,0.0036867332270558596,0.0036867332270558596,2.469430682359397e-05,0.003669271715244195,0.003704194738867524
highest_first,10,3,7,0.3,7,0,0,0,0,0.0,0.0,99.20869433764605,0.7855295920705496,0.005776070283395231,695.4679351540108,729.6734659630165,182.00787505605973,498.78412167099304,857.9462178280228,689.964658003281,720.0372291859821,180.11868731056268,496.70247119292617,853.1542736309348,5.463106433996775,4.751220110891154,3.807893127456466,2.0613956110319123,9.57670358006726,31.666666666666668,34.0,12.662279942148386,18.0,43.0,30.666666666666668,33.0,12.662279942148386,17.0,42.0,62.666666666666664,65.0,18.610033136277146,43.0,80.0,30.666666666666668,33.0,12.662279942148386,17.0,42.0,32.0,32.0,6.0,26.0,38.0,1851.3333333333333,1765.0,659.7502052544837,1239.0,2550.0,32.0,32.0,6.0,26.0,38.0,1819.3333333333333,1727.0,657.3814214999792,1213.0,2518.0,10.0,10.0,0.0,10.0,10.0,26.0,26.0,0.0,26.0,26.0,9.0,9.0,1.0,8.0,10.0,28.0,28.0,1.0,27.0,29.0,2.6666666666666665,2.0,1.1547005383792515,2.0,4.0,13.666666666666666,13.0,3.0550504633038935,11.0,17.0,99.23449839945654,99.4414633344711,0.4859050645683979,98.67937684093849,99.58265502296003,0.7598461255707459,0.553789970998339,0.4837102324369538,0.413284128637849,1.3124642770760497,0.005655474972718107,0.004746694530568293,0.0021949672506747387,0.004060848402131922,0.008158881985454105
default,10,1,9,0.1,9,0,0,0,0,0.0,0.0,99.67168473240645,0.32372977480219073,0.004585492791364945,1013.5947896540165,1013.5947896540165,nan,1013.5947896540165,1013.5947896540165,1010.2670032080496,1010.2670032080496,nan,1010.2670032080496,1010.2670032080496,3.281308129953686,3.281308129953686,nan,3.281308129953686,3.281308129953686,43.0,43.0,nan,43.0,43.0,42.0,42.0,nan,42.0,42.0,74.0,74.0,nan,74.0,74.0,42.0,42.0,nan,42.0,42.0,32.0,32.0,nan,32.0,32.0,2963.0,2963.0,nan,2963.0,2963.0,32.0,32.0,nan,32.0,32.0,2931.0,2931.0,nan,2931.0,2931.0,14.0,14.0,nan,14.0,14.0,21.0,21.0,nan,21.0,21.0,9.0,9.0,nan,9.0,9.0,25.0,25.0,nan,25.0,25.0,4.0,4.0,nan,4.0,4.0,14.0,14.0,nan,14.0,14.0,99.67168473240645,99.67168473240645,nan,99.67168473240645,99.67168473240645,0.32372977480219073,0.32372977480219073,nan,0.32372977480219073,0.32372977480219073,0.004585492791364945,0.004585492791364945,nan,0.004585492791364945,0.004585492791364945
