strategy,repeat,seed,success,benchmark_stop_reason,total_time_s,pose_validation_time_s,structural_time_s,rai_robot_import_time_s,rai_robot_template_restore_time_s,rai_builder_setup_time_s,rai_runtime_time_s,rai_runtime_percent,backward_search_runtime_percent,other_runtime_percent,structural_plans_generated,structural_replans,rai_transition_attempts,rai_transition_failures,komo_calls,komo_feasible,komo_infeasible,first_plan_support_moves,first_plan_support_steps,support_moves,support_steps,first_to_final_exact_match,first_to_final_common_prefix_length,first_to_final_changed_positions,source_file
baseline,0,200457,True,complete,128.99631606499315,122.392004342968,3.0606488840276143,3.498101304998272,0.0,3.498101304998272,125.89010564796627,97.59201618171649,2.3726637917981668,0.03532002648534309,18,17,54,17,571,37,534,11,28,10,26,False,8,12,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/baseline/seed_200457/benchmark.csv
baseline,0,200458,True,complete,79.73540971800685,74.71071665095224,1.3479757370078005,3.6354305679997196,0.0,3.6354305679997196,78.34614721895196,98.25765929595374,1.6905609963942831,0.05177970765198121,12,11,45,11,410,34,376,7,25,5,25,False,11,9,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/baseline/seed_200458/benchmark.csv
baseline,0,200459,True,complete,12.51454372999433,8.742861067992635,0.11749274899193551,3.6280320080113597,0.0,3.6280320080113597,12.370893076003995,98.85213031262148,0.9388496418797423,0.2090200454987836,1,0,20,0,56,20,36,8,27,8,27,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/baseline/seed_200459/benchmark.csv
baseline,0,200460,True,complete,21.228600219998043,17.192669366006157,0.26352983301330823,3.7394426420069067,0.0,3.7394426420069067,20.932112008013064,98.60335486601855,1.2413905310867102,0.15525460289474421,2,1,21,1,84,20,64,11,23,10,23,False,11,7,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/baseline/seed_200460/benchmark.csv
baseline,0,200461,False,total_runtime_limit,2001.9758609130076,1749.1410697651008,248.0278412980697,3.9049482340051327,0.0,3.9049482340051327,1753.046017999106,87.56579198710335,12.389152443873913,0.04505556902272622,249,248,504,249,7179,255,6924,8,23,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/baseline/seed_200461/benchmark.csv
fewest_mandatory_supports,0,200452,True,complete,26.696956850006245,22.888156094995793,0.2858189269754803,3.4947328019916313,0.0,3.4947328019916313,26.382888896987424,98.82358144868955,1.070604895461759,0.10581365584869631,4,3,23,3,151,20,131,7,30,7,30,False,4,4,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fewest_mandatory_supports/seed_200452/benchmark.csv
fewest_mandatory_supports,0,200453,True,complete,20.695097509000334,16.830294279003283,0.15810004000377376,3.6781742759922054,0.0,3.6781742759922054,20.50846855499549,99.09819727148576,0.7639492393549524,0.1378534891592782,2,1,22,1,104,21,83,7,30,7,30,False,15,4,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fewest_mandatory_supports/seed_200453/benchmark.csv
fewest_mandatory_supports,0,200454,True,complete,119.93677754300006,114.93318190300488,1.4366405369655695,3.5256430309964344,0.0,3.5256430309964344,118.45882493400131,98.76772359631818,1.1978315295744053,0.03444487410741686,18,17,54,17,545,37,508,7,30,7,29,False,11,7,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fewest_mandatory_supports/seed_200454/benchmark.csv
fewest_mandatory_supports,0,200455,True,complete,31.161720413991134,27.270532241018373,0.3939112449879758,3.4676456699962728,0.0,3.4676456699962728,30.738177911014645,98.64082439175495,1.2640869623203335,0.09508864592472416,5,4,24,4,156,20,136,7,30,8,26,False,2,17,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fewest_mandatory_supports/seed_200455/benchmark.csv
fewest_mandatory_supports,0,200456,True,complete,31.554014408000512,27.757990719983354,0.3793095760192955,3.389243483004975,0.0,3.389243483004975,31.14723420298833,98.71084483973284,1.2020960981849638,0.0870590620821991,5,4,26,4,179,22,157,7,30,6,29,False,5,10,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fewest_mandatory_supports/seed_200456/benchmark.csv
fewest_mandatory_supports,0,200457,True,complete,24.509083604003536,20.669624714981182,0.2886027120111976,3.5229314340103883,0.0,3.5229314340103883,24.19255614899157,98.70853002859617,1.1775336714917184,0.11393629991210978,4,3,23,3,124,20,104,7,30,7,30,False,4,4,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fewest_mandatory_supports/seed_200457/benchmark.csv
fewest_mandatory_supports,0,200458,True,complete,27.4436920320004,23.631237898982363,0.36013650000677444,3.42277402599575,0.0,3.42277402599575,27.054011924978113,98.58007404190404,1.3122742362319233,0.10765172186403699,5,4,24,4,165,20,145,7,30,7,30,False,4,6,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fewest_mandatory_supports/seed_200458/benchmark.csv
