strategy,repeat,seed,success,benchmark_stop_reason,total_time_s,pose_validation_time_s,structural_time_s,rai_runtime_percent,backward_search_runtime_percent,other_runtime_percent,structural_plans_generated,structural_replans,rai_transition_attempts,rai_transition_failures,komo_calls,komo_feasible,komo_infeasible,first_plan_support_moves,first_plan_support_steps,support_moves,support_steps,first_to_final_exact_match,first_to_final_common_prefix_length,first_to_final_changed_positions,source_file
fast_reduce_support,0,200452,True,complete,10.056546434003394,9.586764441002742,0.4671080129992333,95.32859519832559,4.644815355496579,0.02658944617783568,2,1,23,1,73,22,51,5,19,5,20,False,16,3,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
fast_reduce_support,1,200453,True,complete,5.784634787996765,5.600549728995247,0.1832643499947153,96.81768917575405,3.168123083154576,0.01418774109137594,1,0,20,0,44,20,24,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
fast_reduce_support,2,200454,True,complete,6.276059868992888,6.083177567998064,0.1919096509955125,96.92669756151041,3.0578046577224254,0.01549778076715838,1,0,20,0,41,20,21,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
fast_reduce_support,3,200455,True,complete,7.6029506730119465,7.411138469004072,0.19095651899988297,97.47713470391507,2.511610652397336,0.011254643687597219,1,0,20,0,57,20,37,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
fast_reduce_support,4,200456,True,complete,4.70090786300716,4.516501418998814,0.18326262600021437,96.07721637219281,3.8984517744404736,0.024331853366716484,1,0,20,0,44,20,24,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
fast_reduce_support,0,200457,True,complete,6.903149459001725,6.701216146000661,0.20105825399514288,97.07476545017083,2.9125583212306436,0.012676228598523185,1,0,20,0,49,20,29,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200457_200461/benchmark.csv
fast_reduce_support,1,200458,True,complete,23.076685335996444,22.099341088018264,0.9713573720073327,95.76479796059073,4.209258642930617,0.025943396478649402,5,4,31,4,191,27,164,5,19,6,20,False,14,3,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200457_200461/benchmark.csv
fast_reduce_support,2,200459,False,max_replans,792.417942828004,778.8754705089523,13.467670696001733,98.29099373107063,1.699566600919954,0.009439668009415947,50,49,104,50,4068,54,4014,5,19,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200457_200461/benchmark.csv
fast_reduce_support,3,200460,True,complete,6.198794255993562,6.00567901400791,0.19158374099060893,96.88463217183035,3.0906613944376073,0.024706433732042947,1,0,20,0,50,20,30,5,19,5,19,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200457_200461/benchmark.csv
fast_reduce_support,4,200461,True,complete,8.731753811007366,8.343235096006538,0.38584940001601353,95.55050768253388,4.418922113099509,0.03057020436661063,2,1,23,1,78,22,56,5,19,5,20,False,16,2,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200457_200461/benchmark.csv
baseline,0,200452,True,complete,279.67642614599754,278.0400435920019,1.623002633001306,99.41490150723628,0.5803144209780703,0.004784071785640745,11,10,34,10,1011,24,987,9,31,8,32,False,7,13,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
baseline,1,200453,False,max_replans,1141.2593883189984,1132.780363185011,8.418133149054484,99.2570466257915,0.7376178662989009,0.005335507909600908,50,49,104,50,4136,54,4082,6,26,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
baseline,2,200454,False,max_replans,699.5019623289991,688.5150055400591,10.917430284971488,98.42931723131143,1.5607433392497987,0.009939429438772266,50,49,109,50,3879,59,3820,8,24,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
baseline,3,200455,True,complete,270.47830668000097,268.7564561289473,1.7054254139802651,99.3634053051468,0.6305220684474078,0.0060726264057901,16,15,53,15,1289,38,1251,9,29,9,28,False,9,11,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
baseline,4,200456,True,complete,93.03190127000562,92.42036819701025,0.6037333979911637,99.34266303854146,0.64895309001474,0.008383871443807867,8,7,33,7,563,26,537,10,29,10,32,False,4,14,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200452_200456/benchmark.csv
baseline,0,200457,True,complete,249.18800188000023,247.66570084799605,1.5096013540169224,99.38909537356567,0.6058082020914839,0.005096424342843246,11,10,38,10,1116,28,1088,11,28,10,28,False,8,12,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200457_200461/benchmark.csv
baseline,1,200458,False,max_replans,688.4363194949983,682.3624445060268,6.0180463370343205,99.11772885639924,0.8741616568761003,0.00810948672466082,50,49,98,50,3064,48,3016,7,25,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/single_arm_pose_support_fractions_0.5_0.6/seeds_200457_200461/benchmark.csv
