strategy,repeat,seed,success,benchmark_stop_reason,total_time_s,pose_validation_time_s,structural_time_s,rai_robot_import_time_s,rai_robot_template_restore_time_s,rai_builder_setup_time_s,rai_runtime_time_s,rai_runtime_percent,backward_search_runtime_percent,other_runtime_percent,structural_plans_generated,structural_replans,rai_transition_attempts,rai_transition_failures,komo_calls,komo_feasible,komo_infeasible,first_plan_support_moves,first_plan_support_steps,support_moves,support_steps,first_to_final_exact_match,first_to_final_common_prefix_length,first_to_final_changed_positions,source_file
baseline,0,200458,True,complete,218.76025030200253,210.77957749697816,4.53918445797899,3.37519738899573,0.0,3.37519738899573,214.1547748859739,97.89473845926273,2.0749585227263925,0.030303018010874018,41,40,95,40,1167,55,1112,7,25,5,20,False,5,13,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/baseline/seed_200458/benchmark.csv
baseline,0,200459,True,complete,117.33314194500417,110.93139561596763,2.847400022983493,3.5087535089987796,0.0,3.5087535089987796,114.44014912496641,97.5343770974839,2.4267653416441473,0.03885756087196482,19,18,58,18,557,40,517,8,27,7,27,False,8,10,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/baseline/seed_200459/benchmark.csv
baseline,0,200460,True,complete,16.17438313599996,12.49471098199865,0.23320928299654042,3.41947874899779,0.0,3.41947874899779,15.91418973099644,98.39132409059609,1.4418434448821567,0.16683246452175157,2,1,21,1,75,20,55,11,23,10,23,False,11,7,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/baseline/seed_200460/benchmark.csv
baseline,0,200461,True,complete,1221.9027571240003,1133.2911358200363,84.41982143496716,3.802174702999764,0.0,3.802174702999764,1137.093310523036,93.05923109621416,6.908882146535669,0.03188675725015911,195,194,398,194,5680,204,5476,8,23,8,23,False,7,9,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/baseline/seed_200461/benchmark.csv
fewest_mandatory_supports,0,200452,True,complete,10.784083810001903,7.318640010998934,0.06964035900455201,3.3707981879997533,0.0,3.3707981879997533,10.689438198998687,99.1223583507814,0.6457698236725752,0.23187182554601704,1,0,20,0,63,20,43,7,30,7,30,True,20,0,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fewest_mandatory_supports/seed_200452/benchmark.csv
fewest_mandatory_supports,0,200453,False,total_runtime_limit,2002.8804996870022,1706.8431246788823,291.49660985502123,3.5302194820033037,0.0,3.5302194820033037,1710.3733441608856,85.39567609890716,14.553869284791308,0.050454616301533556,324,323,608,324,8575,284,8291,7,30,0,0,,,,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fewest_mandatory_supports/seed_200453/benchmark.csv
fewest_mandatory_supports,0,200454,False,structural_runtime_limit,2000.0118183550003,1771.2160792359791,224.53324046707712,3.4148663750020205,0.0,3.4148663750020205,1774.6309456109811,88.73102295318466,11.226595683407242,0.04238136340810203,316,315,551,315,8009,236,7773,7,30,0,0,,,,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fewest_mandatory_supports/seed_200454/benchmark.csv
fewest_mandatory_supports,0,200455,False,structural_runtime_limit,2000.0126439820015,1705.9317290279068,289.69689320198813,3.3751825470026233,0.0,3.3751825470026233,1709.3069115749095,85.46480527101568,14.484753087620739,0.05044164136359065,328,327,609,327,8668,282,8386,7,30,0,0,,,,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fewest_mandatory_supports/seed_200455/benchmark.csv
fewest_mandatory_supports,0,200456,True,complete,30.95096187799936,27.374481463004486,0.14939055100694532,3.4012611629950698,0.0,3.4012611629950698,30.775742625999555,99.43388107713591,0.4826685244736626,0.08345039839043081,2,1,21,1,150,20,130,7,30,7,30,False,8,4,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fewest_mandatory_supports/seed_200456/benchmark.csv
fewest_mandatory_supports,0,200457,True,complete,19.500450596999144,15.71353879399976,0.22576302800734993,3.532857439997315,0.0,3.532857439997315,19.246396233997075,98.69718721760631,1.1577323656412934,0.14508041675238528,3,2,22,2,103,20,83,7,30,8,30,False,4,4,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fewest_mandatory_supports/seed_200457/benchmark.csv
