repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries
1,0,11,10,10,"[3, 4, 7, 9, 12, 13, 15, 16, 21, 23]","[0, 1, 2, 5, 6, 8, 10, 11, 14, 22]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,494967558,0.494967558,"[14, 22, 10, 11, 6, 8, 5, 1, 2, 0]","[0, 2, 1, 5, 8, 6, 11, 10, 22, 14]",complete,10,10,42,237,16,221,221
1,0,12,11,9,"[3, 4, 7, 9, 12, 13, 14, 15, 16, 21, 23]","[0, 1, 2, 5, 6, 8, 10, 11, 22]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,317587130,0.317587130,"[22, 10, 11, 6, 5, 2, 1, 8, 0]","[0, 8, 1, 2, 5, 6, 11, 10, 22]",complete,9,9,37,178,13,165,165
1,0,13,12,8,"[3, 4, 7, 9, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 1, 2, 5, 6, 8, 10, 11]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,212643722,0.212643722,"[10, 11, 6, 8, 5, 2, 1, 0]","[0, 1, 2, 5, 8, 6, 11, 10]",complete,8,8,31,133,13,120,120
1,0,14,13,7,"[3, 4, 7, 9, 10, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 1, 2, 5, 6, 8, 11]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,134581680,0.134581680,"[11, 2, 6, 5, 1, 8, 0]","[0, 8, 1, 5, 6, 2, 11]",complete,7,7,26,91,8,83,83
1,0,15,14,6,"[3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 1, 2, 5, 6, 8]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,72901320,0.072901320,"[6, 5, 8, 1, 2, 0]","[0, 2, 1, 8, 5, 6]",complete,6,6,20,61,9,52,52
1,0,16,15,5,"[3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 1, 2, 5, 8]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,42077636,0.042077636,"[5, 8, 2, 1, 0]","[0, 1, 2, 8, 5]",complete,5,5,15,40,7,33,33
1,0,17,16,4,"[2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 1, 5, 8]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,17309100,0.017309100,"[8, 1, 5, 0]","[0, 5, 1, 8]",complete,4,4,10,22,5,17,17
1,0,18,17,3,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 1, 5]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,7023144,0.007023144,"[1, 0, 5]","[5, 0, 1]",complete,3,3,6,12,3,9,9
1,0,19,18,2,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 5]","[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,1740173,0.001740173,"[5, 0]","[0, 5]",complete,2,2,3,6,2,4,4
1,0,20,19,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",[0],"[21, 13, 15, 23, 9, 7, 16, 12, 3, 4, 14, 22, 10, 11, 6, 2, 8, 1, 5, 0]",True,663613,0.000663613,[0],[0],complete,1,1,1,3,1,2,2
2,1,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,5401383961,5.401383961,"[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]","[0, 5, 3, 16, 4, 10, 11, 12, 23, 6, 1, 8, 22, 14, 13, 21, 9, 2, 7, 15]",complete,20,20,132,1389,30,1359,1359
2,1,2,1,19,[15],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 21, 22, 23]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,4367413991,4.367413991,"[7, 9, 23, 21, 13, 22, 12, 8, 6, 16, 10, 11, 5, 14, 3, 2, 4, 1, 0]","[0, 1, 4, 2, 3, 14, 5, 11, 10, 16, 6, 8, 12, 22, 13, 21, 23, 9, 7]",complete,19,19,115,1203,27,1176,1176
2,1,3,2,18,"[7, 15]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 21, 22, 23]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,3412238250,3.412238250,"[8, 13, 23, 21, 22, 14, 9, 6, 16, 3, 11, 10, 12, 4, 1, 2, 5, 0]","[0, 5, 2, 1, 4, 12, 10, 11, 3, 16, 6, 9, 14, 22, 21, 23, 13, 8]",complete,18,18,105,973,24,949,949
2,1,4,3,17,"[2, 7, 15]","[0, 1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 21, 22, 23]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,2843668891,2.843668891,"[8, 21, 13, 12, 14, 23, 16, 22, 9, 10, 11, 6, 1, 4, 3, 5, 0]","[0, 5, 3, 4, 1, 6, 11, 10, 9, 22, 16, 23, 14, 12, 13, 21, 8]",complete,17,17,89,822,21,801,801
2,1,5,4,16,"[2, 7, 9, 15]","[0, 1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 16, 21, 22, 23]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,2139045057,2.139045057,"[23, 13, 21, 22, 12, 16, 8, 14, 1, 4, 3, 10, 6, 11, 5, 0]","[0, 5, 11, 6, 10, 3, 4, 1, 14, 8, 16, 12, 22, 21, 13, 23]",complete,17,17,87,687,28,659,659
2,1,6,5,15,"[2, 7, 9, 15, 21]","[0, 1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 16, 22, 23]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,1612121673,1.612121673,"[13, 23, 12, 8, 1, 0, 3, 4, 16, 6, 14, 11, 10, 22, 5]","[5, 22, 10, 11, 14, 6, 16, 4, 3, 0, 1, 8, 12, 23, 13]",complete,15,15,71,554,27,527,527
2,1,7,6,14,"[2, 7, 9, 13, 15, 21]","[0, 1, 3, 4, 5, 6, 8, 10, 11, 12, 14, 16, 22, 23]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,1066301147,1.066301147,"[8, 23, 12, 1, 6, 11, 14, 4, 3, 22, 0, 10, 16, 5]","[5, 16, 10, 0, 22, 3, 4, 14, 11, 6, 1, 12, 23, 8]",complete,14,14,66,405,19,386,386
2,1,8,7,13,"[2, 7, 9, 13, 14, 15, 21]","[0, 1, 3, 4, 5, 6, 8, 10, 11, 12, 16, 22, 23]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,875462063,0.875462063,"[22, 23, 1, 16, 8, 10, 6, 3, 11, 12, 4, 0, 5]","[5, 0, 4, 12, 11, 3, 6, 10, 8, 16, 1, 23, 22]",complete,13,13,55,343,18,325,325
2,1,9,8,12,"[2, 7, 9, 13, 14, 15, 21, 22]","[0, 1, 3, 4, 5, 6, 8, 10, 11, 12, 16, 23]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,662181289,0.662181289,"[23, 1, 12, 4, 3, 16, 8, 10, 0, 6, 11, 5]","[5, 11, 6, 0, 10, 8, 16, 3, 4, 12, 1, 23]",complete,12,12,46,288,19,269,269
2,1,10,9,11,"[2, 7, 8, 9, 13, 14, 15, 21, 22]","[0, 1, 3, 4, 5, 6, 10, 11, 12, 16, 23]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,608537659,0.608537659,"[1, 6, 23, 12, 4, 0, 16, 3, 10, 11, 5]","[5, 11, 10, 3, 16, 0, 4, 12, 23, 6, 1]",complete,11,11,38,274,17,257,257
2,1,11,10,10,"[1, 2, 7, 8, 9, 13, 14, 15, 21, 22]","[0, 3, 4, 5, 6, 10, 11, 12, 16, 23]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,455131502,0.455131502,"[6, 16, 11, 10, 5, 12, 23, 4, 3, 0]","[0, 3, 4, 23, 12, 5, 10, 11, 16, 6]",complete,10,10,34,219,17,202,202
2,1,12,11,9,"[1, 2, 6, 7, 8, 9, 13, 14, 15, 21, 22]","[0, 3, 4, 5, 10, 11, 12, 16, 23]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,284398235,0.284398235,"[11, 12, 4, 10, 23, 3, 16, 5, 0]","[0, 5, 16, 3, 23, 10, 4, 12, 11]",complete,9,9,36,159,19,140,140
2,1,13,12,8,"[1, 2, 6, 7, 8, 9, 13, 14, 15, 21, 22, 23]","[0, 3, 4, 5, 10, 11, 12, 16]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,218733889,0.218733889,"[11, 5, 10, 4, 12, 16, 3, 0]","[0, 3, 16, 12, 4, 10, 5, 11]",complete,8,8,21,138,20,118,118
2,1,14,13,7,"[1, 2, 6, 7, 8, 9, 12, 13, 14, 15, 21, 22, 23]","[0, 3, 4, 5, 10, 11, 16]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,137234956,0.137234956,"[16, 4, 3, 10, 11, 0, 5]","[5, 0, 11, 10, 3, 4, 16]",complete,7,7,21,94,13,81,81
2,1,15,14,6,"[1, 2, 6, 7, 8, 9, 11, 12, 13, 14, 15, 21, 22, 23]","[0, 3, 4, 5, 10, 16]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,86617262,0.086617262,"[4, 10, 5, 16, 3, 0]","[0, 3, 16, 5, 10, 4]",complete,6,6,21,69,10,59,59
2,1,16,15,5,"[1, 2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23]","[0, 3, 4, 5, 16]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,41141259,0.041141259,"[4, 3, 16, 0, 5]","[5, 0, 16, 3, 4]",complete,5,5,15,40,7,33,33
2,1,17,16,4,"[1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23]","[0, 3, 5, 16]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,18582498,0.018582498,"[3, 16, 0, 5]","[5, 0, 16, 3]",complete,4,4,10,23,5,18,18
2,1,18,17,3,"[1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 3, 5]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,7016945,0.007016945,"[3, 5, 0]","[0, 5, 3]",complete,3,3,6,12,3,9,9
2,1,19,18,2,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[0, 5]","[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,1827772,0.001827772,"[0, 5]","[5, 0]",complete,2,2,3,6,2,4,4
2,1,20,19,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]",[0],"[15, 7, 2, 9, 21, 13, 14, 22, 8, 1, 6, 23, 12, 11, 10, 4, 16, 3, 5, 0]",True,748587,0.000748587,[0],[0],complete,1,1,1,3,1,2,2
