repetition,seed,run_index,removed_prefix_count,included_rod_count,excluded_rods,included_rods,default_order,success,elapsed_ns,elapsed_s,removal_sequence,assembly_sequence,search_stop_reason,search_expansions,search_attempted_transitions,search_enqueued_candidates,rigidity_check_calls,rigidity_cache_hits,rigidity_cache_misses,rigidity_cached_entries
1,0,1,0,20,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[2, 7, 8, 13, 15, 21, 9, 1, 6, 12, 4, 14, 11, 22, 5, 10, 16, 3, 23, 0]",True,6874497199,6.874497199,"[2, 7, 8, 13, 15, 21, 9, 1, 6, 12, 4, 14, 11, 22, 5, 10, 16, 3, 23, 0]","[0, 23, 3, 16, 10, 5, 22, 11, 14, 4, 12, 6, 1, 9, 21, 15, 13, 8, 7, 2]",complete,20,20,142,3013,1290,1723,1723
1,0,2,1,19,[2],"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[2, 7, 8, 13, 15, 21, 9, 1, 6, 12, 4, 14, 11, 22, 5, 10, 16, 3, 23, 0]",True,5695924476,5.695924476,"[7, 8, 13, 15, 21, 9, 1, 6, 12, 4, 14, 11, 22, 5, 10, 16, 3, 23, 0]","[0, 23, 3, 16, 10, 5, 22, 11, 14, 4, 12, 6, 1, 9, 21, 15, 13, 8, 7]",complete,19,19,128,2712,1166,1546,1546
1,0,3,2,18,"[2, 7]","[0, 1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[2, 7, 8, 13, 15, 21, 9, 1, 6, 12, 4, 14, 11, 22, 5, 10, 16, 3, 23, 0]",True,4721181328,4.721181328,"[8, 13, 15, 21, 9, 1, 6, 12, 4, 14, 11, 22, 5, 10, 16, 3, 23, 0]","[0, 23, 3, 16, 10, 5, 22, 11, 14, 4, 12, 6, 1, 9, 21, 15, 13, 8]",complete,18,18,116,2411,1045,1366,1366
