strategy,method,successful_runs,distinct_seeds,unique_removal_paths,seeds,source_file,support_steps_min,support_steps_max,support_steps_average,support_steps_median,support_moves_min,support_moves_max,support_moves_average,support_moves_median,peak_supports_min,peak_supports_max,peak_supports_average,peak_supports_median,runtime_s_min,runtime_s_max,runtime_s_average,runtime_s_median
baseline_random,Uninformed baseline + random supports,10,10,10,"200452,210452,220452,230452,240452,250452,260452,270452,280452,290452",baseline_random_20rods_10reps.csv,21.0,31.0,26.1,25.5,5.0,9.0,7.0,7.0,2.0,2.0,2.0,2.0,0.085182669,0.18578201,0.1156976079,0.10978354600000001
baseline_lowest,Uninformed baseline + lowest,10,10,10,"200452,210452,220452,230452,240452,250452,260452,270452,280452,290452",baseline_lowest_first_20rods_10reps.csv,25.0,31.0,28.5,29.5,7.0,12.0,8.6,8.5,2.0,2.0,2.0,2.0,0.097192788,0.225869057,0.1315770206,0.1192970055
default_lowest,Default + lowest,10,10,6,"200452,210452,220452,230452,240452,250452,260452,270452,280452,290452",default_lowest_first_20rods_10reps.csv,21.0,21.0,21.0,21.0,14.0,14.0,14.0,14.0,2.0,2.0,2.0,2.0,0.098348691,0.102456659,0.0998815214,0.0990064515
default_furthest,Default + furthest,10,10,6,"200452,210452,220452,230452,240452,250452,260452,270452,280452,290452",default_furthest_from_removed_20rods_10reps.csv,20.0,24.0,21.2,20.0,11.0,15.0,13.8,15.0,2.0,2.0,2.0,2.0,0.110153556,0.119184476,0.1145663355,0.11367746349999999
fast_reduce_support,Fast reduce support + lowest,10,10,8,"200452,210452,220452,230452,240452,250452,260452,270452,280452,290452",fast_reduce_support_20rods_10reps.csv,19.0,19.0,19.0,19.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,0.299406425,0.368117033,0.3316064558,0.336347577
fast_reduce_support_furthest,Fast reduce support + furthest,10,10,7,"200452,210452,220452,230452,240452,250452,260452,270452,280452,290452",fast_reduce_support_furthest_from_removed_20rods_10reps.csv,19.0,19.0,19.0,19.0,5.0,6.0,5.5,5.5,2.0,2.0,2.0,2.0,0.283540199,0.313506214,0.2953776729,0.29412661949999996
reduced_overall_support_steps,Reduced overall support steps,1,1,1,200452,reduced_overall_support_steps_20rods_1rep.csv,11.0,11.0,11.0,11.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,850.557099203,850.557099203,850.557099203,850.557099203
reduced_overall_supports,Reduced overall supports,1,1,1,200452,reduced_overall_supports_20rods_1rep.csv,19.0,19.0,19.0,19.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,839.766412008,839.766412008,839.766412008,839.766412008
