removal_strategy,included_rod_count,expected_runs,recorded_runs,successful_runs,failed_runs,missing_not_attempted_runs,runtime_limit_failures,open_list_exhausted_failures,runtime_successful_mean_s,runtime_successful_median_s,runtime_successful_std_s,runtime_successful_min_s,runtime_successful_max_s
default,103,5,5,5,0,0,0,0,1.6243373362,1.622930053,0.04403967328059719,1.563890343,1.677861775
default,105,5,5,5,0,0,0,0,1.6608053246,1.66607076,0.029747583453356343,1.614480723,1.695658093
default,107,5,5,5,0,0,0,0,1.7118767968,1.693454864,0.05132540099292772,1.663234541,1.797751701
default,109,5,5,5,0,0,0,0,1.7852476367999999,1.781077698,0.051723858128076214,1.726665435,1.850746606
default,111,5,5,5,0,0,0,0,1.821406327,1.813263749,0.046259211438992406,1.774111798,1.89841248
default,113,5,5,5,0,0,0,0,1.949807976,1.926513902,0.06510824560174311,1.884385641,2.036584331
default,115,5,5,5,0,0,0,0,2.0470599624,1.989571424,0.1212115075330486,1.968681517,2.255172237
default,117,5,5,5,0,0,0,0,2.1034044294,2.042510218,0.14800465688853626,2.002388953,2.363598124
default,119,5,5,5,0,0,0,0,2.1491574506,2.153516154,0.08834320476387067,2.06748545,2.287189487
default,121,5,5,5,0,0,0,0,2.1679915054,2.12273073,0.10517997125840534,2.105074663,2.354953904
default,123,5,5,5,0,0,0,0,2.2795034124,2.255391448,0.13675872965214303,2.150975499,2.500286911
default,125,5,5,5,0,0,0,0,2.2790548936,2.274787115,0.025569128777577402,2.251952384,2.309223093
default,127,5,5,5,0,0,0,0,2.401752015,2.411943844,0.029996361608791624,2.364090527,2.428626497
default,129,5,5,5,0,0,0,0,2.4781600692,2.496483204,0.03977270688791508,2.414366878,2.51136605
default,131,5,5,5,0,0,0,0,2.6132468153999997,2.630215763,0.03752517016288231,2.566842886,2.647391971
default,133,5,5,5,0,0,0,0,2.6746160348,2.677825357,0.048582870134255184,2.598127445,2.728922825
default,135,5,5,5,0,0,0,0,2.7511687732,2.778208784,0.0553920344620749,2.684488684,2.803292582
default,137,5,5,5,0,0,0,0,2.7766527437999997,2.781527491,0.045619872106411094,2.704393797,2.83038701
default,139,5,5,5,0,0,0,0,2.8649801918,2.873079856,0.04173810475678264,2.797595513,2.911735174
